index,smiles
19,C.C1C23N4N5N6C42C52C64N5C67C89OC4(C132)C12C86C13C59C73C13C45C67OC68N6N9C68C76C78C9%10C71C%106C16C27C48C31C576
20,C.C.ClC12C34C15C23C12C36C78OC9(C73C93C79C%10%11C%12%13N%14N%15C%14%12N%13C%15%10C%10%12C%13(Br)C7%14C86C%10%14C%123C%13%119)C41C51C34C56OC5C63C412
21,NCC12C3C14C31C35CC67N8C39C3%10N%11C3%12C3%13C8%14C58C93C63C2(C741)C%148C31C%10%13C%112C%121C13C45N6C78N9OC97C68C67C21C46C537
22,CCCC1(C)C23C45C67OC89C%10%11C8%12C8%13C9%14C9%15C%16%17N%18C%19%20C%189C%199C%18%19N%21C%18%16C%21(C9%15C%19%20%17)C%108C%11(C68C74C4(C258)C25C16C21C35C614)C%14%12%13
23,CCC12CC34C5C(N53)C13N1C56C17C51C42OC31C12C3(C45N8C9%10C%11%12OC%11%13C84C%135C45C%128OC94C8%105)C14C21C25C67C16C32C456
24,CC12CC3(C45OC6C7C48C1C75C628)C12C45OC67C89C%10%11OC%12%13C%14%15OC%12%16C%13%14C%16%10C%10%12C6%13C%106C1(O4)C14C%136C7(C%15%118)C26C53C16C94%12
25,O1C23C14C2(C31C23C56N7C89C%10%11C%12C%13C%12%14C%12C%15(C%10C%10%16N%11C%10%11C%15C%10%15C%17(N%11C8%11C%16%10C%159%11)C58C%175C62C82C73C152)C%13%12%14)C12C35C46C13C625
26,C1C2C3C45CC(C124)C12C4C16C35C46C13C45OC16C17ON8C9%10OC%11%12N9C9%13OC%14%15C%16(OC%11%17C%10%14C9%16%17)C%12%13C%159C81C71C24C53C691
27,C.C1C2C34N5OC16C51C63C24C12C13N4C56C47C12C12C5(C45N8C9%10C%11%12OC%13%14C%11%15N%11N%16C%13%17C89C%104C%165C%114OC4%15C%14%12%17)C71C362.O
28,CC1CC12N1C3(C)C14C15C67OC89C61C1(C86C8%10N%11N%12C%11%13N%11N%14C%15(C%118C8%11C%14%15C68C9%111)C%121C68C%13%10C9%10C1%11C69C8%11%10)C41C74C23C541
29,C1NN2C3C45CC67C(O4)(C132)C61C23N4C76C47C24C2(OC89C%10%11OC%12%13C%10%14C%10%15OC%16%17N%18C%16%19C%10%16C%18%17C%12(C%15%13%16)C2%10C8(C571)C%11%10C9%19%14)C634
30,N.O1N2C13C14C5C6N7C89C1C1%10OC8(C8%11C65C18C79%11)C15C26C%102C47C61C57C32C12C34N5C36C37C68C69C54C45C36C71C41C82C951
31,N1C23C45C6C78C29C14C31C72C63C46C87C34C97C63C46N7C8(N9C%10%11OC%12%13C%14%15OC%16%17C%10%18N(C%118%12)C%16%18C%13%14C9%17%15)C89C4%10C74C%108C69C43C512
32,BrC1(C23OC24N3C23C56C47OC48C75C45C24C83C654)C23OC45C26C12C41C32C23C64C51C21C25C6(C78C9C%10C7C%107C9C78C642)C531
33,ClC12OC34C56CC5CC5C6C13C21C42C53C12C31C2(C34C56N7C8(Cl)C79C87C8(Cl)C9%10C83C54C67%10)C3(Cl)C45C36C13C41C25C631
34,C1C23CC45C67NC2C2(C89C%10%11N%12C%13%14C%128C8%12C%15(C%16%17OC%18%19C%20%21OC%22%23C%16%24C%20%22C98C%18(C%21%19%17)C%23%24%15)C%128C9%12C%13%10C98C%14%11%12)C48C24C52C6(C137)C824
35,C.OC12C3(F)CC31C13C45OC16C21N4C12C31C34OC78C9%10C%11%12OC%13%14C%11%15C%129C7(C3%13C42C561)C%14(C12C34N5C36C53C65C31C452)C8%10%15
36,CC1C2C34C(N1C)C15N6C78C9%10OC7%11C7%12C%13(OC7%14C98C%147C8(O%10)C1(C235)C%118C647)N1OC23C45OON6C78N(C67C14C%132%12)C853
37,C.CC1C23N4C56C17C41C25C72C61C14C35C36C78OC9%10OC%11%12C(C7(S8)C321)(C91C23OC78SC%101C72C31C23OC21N83)C%111C%124C651
38,C1CC23C4(CC14)C14ON5C67C58C65C27C26C57C31C87C41C3(C45OC78C49C54C35C93C59C75C87C98C59C43C789)C34C15C21C63C541
39,CC12C3N1C21C2OC45C67OC89C%10%11OC6%10C4(C1(C378)C295)C%111C23C45C67C89OC%10%11C8%12C%108C9(C%116C%1287)C67C28C34C62C73C14C58C432
40,CCC12C3C1(CN)C14OC56C27N2C37C15C246.O1C23N4C15C16C27C42C71C14C3(C261)C12C54C13C14C56N7C89C7%10C85C96C%101C423
41,CCC1C2C(C34N5C67C89OC%10%11N%12C%13(C%1086)C39C5(C%1147)C34C5(C67C89ON8C8%10C%11%14OC%15(OC%15(O%11)C986)C%14%107)C%126C37C63C%135C473)N12
42,ClC12CC1C13C45N6C47C48C69C76C47C4(N%10C%11%12OC%10%13C%11%10N%11C4%14C4%15P%16OC4%17C%164C%11(C%12%13%10)C47C%17%14%15)C47C5%10C5%11C2%12C1(C35C64C%12%107)C98%11
43,CC1C2C34N5C23C2(C36C78N9C73C37C8%10N8C%11(C%12%13N%14C%15%16OC%14%17C%14%18C%19%20OC%15%21N(F)C%19%14C%12%14C%16%17C%18(C8%11%13)C%21%20%14)C%103C967)C3(C)C14C532
44,CC1CC23C45C1C16C7(C89N%10OC%11%12N%13C%14%15N%16C%17(C%13%11C%178C%129O%10)C%168C%149C%10%11C%15%12C%13%14C8%15C9%10C%15%13C%12%11%14)C48C14C71C57C25C32C67C41C528
45,FC12C34OC56N3C51C6(O4)C13C45C6(N7C89N%10C7%11C67C%116C8%11C%108C%10%12C%13%14C%15C%16%17CC%16C%15%16C(OOC9%13C%14%10C8%11C7%126)C%17%16)C16C24C356
46,CC12CC13C2C31CC23C45C6(F)C7(Cl)C89C%10%11C%12(OC64C24C3%12C154)C8%10C12C34C56OC8%10C%12%13C9%11C79C%121C5(C9%132)C12C63C83C%101C342
47,BrC12C34C56N7C8(C9%10C%11%12N%13C%14(C%15C%16CC%15%17C%15%18CC%14%19C%17%14C%15(N%16)C%18%19%14)C%139C9%13C%10%14N%11C%149C%128%13)C18C21C72C7(OC79OO9)C53C81C264
48,O1C23N4C56N(C47C48OC9%10C%11%12OC%13%14C9%11C9%11C%15(N%16C%17%18C4%19C%16(C8%199)C%174C5%18C7%154)C%10%13C%12%14%11)C24C25N7C38C3(C162)C12C6C9C61C92C73C458
49,CC.IC12C34C56OC37C3(C18C19C%10C%11%12OC%115C%121C%1098)C71C26C31C41C23N4C21C12C56C7(OC89OC8%10ON%109)C58C76C15C43C825
50,CC(C)CC1C23n4n5n4C52C2(Cl)OC45OC67C13C41C34C89C%10%11OC%12%13SC%12%14C%13%12OC%14%13C%12(O%10)C%10%12C%118C%13%10C9%12C38C6(C257)C148
51,CC12C3C45OC67C8(OC9%10N%11C%12%13OC4%14C%114C16C4(C325)C9%12C%10%13%14)N1C23C45C76C47C84C58C27C25C79C1%10C71C37C42C2(C%109C152)C678.F
52,C.ClC1(C23C45OC67N8N9C%10C%11CNC%12%13OC%14(C98%12)C8(C%11%10%13)C6%14C86C78C46C46C79N%10C2%11C52C%117C24C86C%1093)OC23C45C16C24C365
53,FC12CC34C1CCC1C23C42OC23OC24OC35C13C51C35C23C26C7(Cl)C89N%10C%11%12N%13C%118C98C%13%12C89C%107C97C28C42C67C35C128
54,ClC12C34OC15C21C26ON7C28N2N9OC83C92C74C651.SC12CC3(O1)C1C4C13C13N2C25C6(OC67C68C9%10OC96C7%108)C12C435
55,N1C2C3N4OC15C31C53C24C24C56C78C9%10N%11C%12%13C%14%15OC%16%17C%12%18C%13%12C%16%13C%14%16C%18%13C%17%12C%16(C%1597)C85C%11%10C57C89C2%10C2(C4%11C13C%1182)C51C76C%1091
56,CC12C34C56SC7CC58C59C73C45C89C34C57OC89C13C26C81C52C79C23C25C36C3(C78C9%10C2%11C41C%111C97C1%108)C12C54C65C36C41C526
57,CC12C3C4C56OC17C18C9%10C%11%12SC%13%14C1%15C%131C%13(C%16%17OC%16%18C%17%16N%11OC%11%17C%18%19C%18%20C%11%21C%17%11C%21%17C%16%13C%19%18C%11%17%20)C%12%11C%148C91C7%10C51C6(C342)C1%11%15
58,ClC12C34OC56OC78C9%10C3%11C3%12N%13C%14(OC%143C%13%12%11)C49C34C19C2(C73C8%104)C91C23C47OC89C%10%11C%12C(C8%10C4%11C%124CC4)C24C97C54C631
59,CN1C2(CC2)C23N4C56C12C41C24C78N9C%10%11OC97C79C8%12N8C52C25C84C2(C361)C75C91C23OC%104OC56N2OC52C4(O%11)C62C3%121
60,FC12OC34C5(OC67CC6O7)C67OC6(C753)C13C21C42C45C31C13C67C89C%10%11C%12%13OC%10%14C8%10C8%15C%12%11C%108C8(C%139%15)C%149C46C25C12C97C823
61,C.NC1C23N4N2C25C67C8(C9%10OC9%11C1%10C43%11)C13C49C%10%11OOC%12%13C%14%15C%16%17OC%16%14C%15%14C%15%16C%17%12C%15%12C%14%15C%10%14C%11(C%14%12C%13%16%15)C4%10C8(C261)C9%10C573
62,C.FC12C34OC56C17C53C13C58C9%10OC%11%12C5%13N5C9%14C59C%111C%148C9(C2%12%13)C%103C61C42C34C56C89C%10CC%11C%10C%11C8%10C95C35C%104C76C125
63,CC1C23CC2C32N3OC12C12N3C34C15OC1(C67OC89C6%10C16C8%10C18C96C76C79OC7%10C7%11C%12%13C91C71C%10%12C%11%13C681)C31C2(I)C541
64,CC12C3C45OC16C31C37C8C39C86C36C29C42C34C53C15C1(C89OC1%10C87C17C8%11OC%12%13OC%14%15N%16C%14%17C%129C%151C%107C%161C%138C%11%171)C56C234
65,NC1C23C45C6C4C47C89N%10C%11%12N%13OC%14(OC%15(OC%16%17C%18(O%14)N%15C%14%15C%18%19C%16%14C%17%15%19)C%14%15OC%148O%15)C%13%10C%118C9%10N%12C9(C1%11C62C%11%10C498)C537
66,CC12C3C(N)C34C13C41C4(Br)C56OC57OC5(F)C8(C9%10OC8%11C98C%109OC%10%12C%11%13C%10%11C9%10C8%11C%12%13C%108C9%10C%11%12C8%13C9%11C%10%13%12)C57C46C231
67,ClC12OC34CCCCC35C43C4C67C15C15C48C36C34C69C81C27C56C12C56C78C%10%11N%12C%13%14N%15C%12%13C%14%12C%15%10C%11%12C7%10C9(C%107C85C317)C462
68,OCC1(O)CC23C45OC67C48C49N%10C%11(N%12C%13%14C%104C6(C24C13C574)C81C%12%13C%1491)C12C34N5C36C51C13C57OOC18C51N(C781)C64C%1132
69,FC12N3OC45C36OSC43C14C53C41C34OC26OC2(O3)C43C24C25N6C7(C8(CC89C8CC%10C8CCC%1092)C341)C12SC15C627
70,C.CC1C23C45C16C21C34C23C47C89C%10%11N%12C%13%14C8%15N(Cl)C8%16N%17C%18%19C8%20SC%20%18C%17%16C8%16C%199C%109C%12(C98C%15%16C%11%134)C48C69C51C1(C%1447)C92C831
71,CCCC12C34C5(C)C67OC89C%10%11N%12C%10(C%10%13N%14C%15%16OC%10(C%14%15%13)C%16%10C%13%14OC%10%15C%10%16C%13%17OC%17%10C%14%15%16)C%10%13OC%14%15C53C1%14C26C8%10C7%13C%154C%129%11
72,C1C2C34C56C7CC15C61C23C2(OC35C68N9C6%10C6%11C9%12C9%13C%14%15C3%16C%123C%12%17C9%18C%129C%13%14C%18%17C9%12C%16(C%106C58%11)C3%15%12)C35N6C89C6(C238)C59C741
73,C1C2C1C2SC12ON1C21C23N4C56OC21C45N63.O1N2C34OC15N3C13C67OC89C%10%11C6(OC%106C8%10C79C6%11%10)C16C1(OC541)C236
74,C1C23N4C12C41C32N3C24C25C67N8C9%10C8%11C8%12C9%13C6%10C86C28C12C37C5(C428)C1(C%13%126)C23C45C67N8C69C86C97C67C42C24C%116C53C62C714
75,CC12OC3C4CC35C36OOC13C51N3C25C4C6(C24N6C78N9C7%10C62C%104C92C46C87C89N%10C%11%12C8%13C%108C%11%10C%12%13C8%11C94C7%11C2%106)C351
76,CCCC12N3C45OC67C8(OC9%10C%11%12OC4%13C94C9%14N%15N9C%109C%14%11C%15%12C%1394)C64C69N%10C3%11C63C%10(C56C%117C846)C45C6(CC)C14C23C695
77,CC12N3C45OC46C4(C5C14O)C1(OC14OC41C45C78C19C41C74C7(C%10%11C%12(F)C%13%14C%15(Cl)OC%10%16C%15%10C%16%13C%14%10C%12%117)C87C18C59C478)C326
78,CC1(C)C23C4(C)C56C78C19C1(C47C94C79C1%10C71C47C4%11C%12%13C%14%15C%16%17N%18C%16%19C%16%20C%18%21C%17%18C%19%14C%18%16C%14(C%21%20%15)C%12%15C4%12C%14%13C%154C7%11C%124C%1091)C25C368
79,FC12C34C5C6C7CC58C15C3(C76)C51N4C34C85C67N8C9%10C%11%12N%13C%14%15OC%13%14C%11%13C%11(OC%14%16C%119C8%10C89C2%10C%146C%16(C3%108)C12C75C492)C%15%12%13
80,CC12OC34C56N7C89C5%10C5C13C58C2%10C12C73C57N6C6(C531)C7(C492)C61C23C45C67OC48C4(F)C9%10C%11(C6(F)C78%11)C96C7(C42C5%107)C136
81,C1C2C1C13C2C12C14N5C16C51C57C68C5(C324)C82C73C14C31C35C67C89OC%10(C%11%12OC%11%13C%11%14C%13%15C%11%13C3%11C%12%14C%153C5%12C4%13C21C3%11%12)C86C%1097
82,FC12C34OC35OC53C15C21C42C46N7C89C(Cl)(C%10%11C%12%13CC%14%15CNC%14C%15%14C%15%16C%12%17C%10%15C%13%10C%14%16C%11%17%10)C%10%11C8%12C78C4(C82C351)C%101C96C%12%111
83,CCCOC12C34OC56N7C89C%10%11C5(F)C13C24C6%10C1(C23C4(F)C56C2%10C42C4%12C35C24C6%10%12)C23C74C85C92C43C%1151.O1C23N4N2C143
84,CC12C34OC56C78C9CC97C58C13C13C64C45C21C41C24C67C89N%10C%11%12C%13%14N%15C%13%16C%15%13C%15%17C(C%1086)(C%14%16%11)C68C%13%10C%129C%152C%17%10C62C78C32C541
85,ClC12C3OC45C67C8C31N6CC87C21C23C67OC68C72C41C53C81C23N4C56OC52C12C43C61C34OC56N7C51C21C72C65C32C451
86,CC12C(Cl)C13OC14OC2(C25C67C89C%10%11C%12%13OC%14%15N%16C%12%14C%12(S%13)C%13%14C%16%17C%16(C%15%18C%17%16C%15%16C%13%18C%10%15C%16%10C2%13C52C86C%13%10C972)C%12%14%11)C12C4C32
87,IC12C34C56OC78C19C71C7%10C%11%12OOC%11%13C2(C2%11C87C92C%102C%137C%121C7%112)C12C53C64C13C14C56C78C9CC%10%11C97C%107C%119C85C91C72C634
88,CCCC1C2(OO2)C23C45N6C17C21C62C36C38OC9(C3%10C93C9%11C%12%13N%14C%15%16C%12%17C%14%12C%14(C%15%13%17)C%123C%149C%16%10%11)C39C7%10C87C38C%109C78C46C251
89,CC(C)C12C34N5C67C89C%10%11OC%12%13C%14%15N%16C%17(I)OC%18%19C%20%21OC3%22C%203C%22%14C%18(C%16%17C%12%21C%13%19%15)C6%12C78C%106C49C5%11C45C78C19C27C48C95C36%12
90,CC.CC12C34C5C67N8C9%10OC8%11C98C9(O%10)C%10%12OC%13%14C%15%16C%10%17C%11%10C8%11C6(N73)C1(C542)C%10%15C%171C92C%11(C%133C45C%126C%147C68C36C74C586)C%1621
91,C.CCC12N3C14N1C5(C6N7OC672)C12C54C14C35C23C52C1(C1(Cl)C56C78N9C%10%11C%12%13OC%12%10C%10(ON%13O%10)C7%10C%118C97C15C7%106)C342
92,OC1CC23CCC14C21C32C43C45OC67C48C49OC%10%11C48C4(C96C57C45C46C%107C48C49C%11%10C%11(C564)C84C%115C68C79C67C%106C48C675)C132
93,CC1CC23C4N5C42C12C14C56N(C36O)C13C24C12SC45C16C41C24C27C89C(F)(C%10%11ON%12OC%12%13N%10N%13%11)C2%10C62C53C82C%101C947
94,NN1CC2C34C5(Cl)C67C8(Cl)C9(C23C149)C56C12C34C(Cl)(C35C81C752)C41C23C45C16C41C24C3(C514)C12C63C45C36C43C54C15C24C635
95,CC(C)OC12CC13C14N5OC67C89C%10%11OC%12%13C%14%15N%16C%14%17C%16%14C%17%16C%128C%14%16C69C%106C7%11C78C9(C5%10OC95C9%11C%10(C)C19C5%11C234)C67C%13%158
96,CC12C34OC56N7C58N3C4(C34C59SC%10%11C%12%13C%14%15OC%16%17C%18%19C%20%21N%22C%18%23C%14%18C%15%14C%16(C%22%20C%12(C%10%12C%11%13C53C94%12)C%23%18%14)C%17%21%19)C61C782.CCCN
97,CC12C34CCCC13C13C25C26N7OC48C51C71C23C82C34C57ON(N8C9%10OC%11%12C8%13C8%14C9%15C%10%11C%128C%13%15%14)C89C5%10C73C83C9%10C23C614
98,C.O1C23C45OC26C27C(C89N4C84C8%10N9C89C%108C%10%11C4%12C4(C%13%14C%15%16C%17C%18C%19C(C%19%17%15)C%13%15C%14%13C%18%16C%15%134)C9%10C8%12%11)(C153)C13C24C25C67C12C345
99,C.ClC12C34P5C67N8C6(C86C89C%10%11C%12CC%13%14CC%13%10C%12%14C8%10C7%11C69%10)C36C51C13C5(OC57C58C29C72C97C9%10C5%11C18C15C29C%111C7%105)C463
100,C1C23CC45N6C7(C2C137)C12SC37N(C41C653)C13C4(OC41C14C56C89N%10C%11%12C8%13C%108C%10%14C95C1%10C%136C4%14C14C56C%119C%125C15C89C654)C723
101,CC.COC12OC3(O1)C21C24N5C26SC2C56C24C24C56C78N9C%10%11OC%12(Cl)C9%13C%12%10C%139C7%10ON7C%11%10C79C57C86C35C13C52C473
102,CC.O1C23OC45C67SC89C%10%11C1%12C41N4C2%13C2C%14%15C2%16C2%17C3%18C%14(C%152C%131C4%12C51C23C64OC25C42C34C53C85C74C%104C23C54C9%111)C%16%18%17
103,C.CC12C34C5C3C36C54C13C13C45OC7(OC78C79OC%10%11C7%12C87N8C%13%14C%15%16N%17C%18%19OC%18(C%17%19%15)C%13%15C%16(C87%14)C%10%15C9%11%12)C47N5C24C61C743
104,C.CC12CC13C14CC5(N6C78C9%10C65C95C76C7(N9C%11%12C%13(F)C7%14OC7%15C%11%10C9%12C9%10C%11%12C%16(F)C7%17C7(C%16%11C%1597)C%17%10C%13%14%12)C865)C15C2C345
105,C1N2C13OC1(C4CC21O4)C12C45C3C36C17N1C34C34C17C51C57C(N8C9%10C%11%12N%13OC%14%15OC%14%16C%13%14C%11%13C%14%12C%11(C85C9%13%11)C%15%16%10)(C673)C214
106,C.CC12CC34C56N7C58C59CC1%10C51OC5(C93C25C%1046)C23C45N6C9%10C2(C2%11OC84C24C52ON5OC58C25C42C6%11C94C8%10C542)C713
107,C1CC23CC45C67C89OC%10%11N8C8%12C%10%13OC%10(C%14(C%15%16N%17N%18C%15%19C%18%15C%17%19C%15%16%14)C%10%14C%10%15C8%16C%12%10C%14%16%15)C8%10C9(C%11%13C468)C%104C6(C18CC82)C34C576
108,C1C23C4C56C7N2C13C12C45C13N1C4(C58N9C%10%11C%12%13C1%14C%105C15C9%12C81C51C58C9%10OC9%12C%11%13C%129C%14%11C%12%13N%14C%10(C%14%12C951)C%13%118)C31C76C421
109,C.C1C23C4C25N3C23OC67C28C15C48C61C32C71C13C45C67OC8(C49C64C16C21C42C14C79C624)C12C54C15C16C87C28C42C73C81C562
110,O1C23N4C56C78C19C47C14C27C32C57C21C84C12N3C45C61C92C31C23C67C89C%10C8C%108C9%10C89C%108C9%10C68C7%10C67C48C56C45C12C47C385
111,COC1(O)C23C4(F)C25C26C13C42C56C12C34C56OC78OC9%10C%11(C7%12N7C%13%14C%12%15C7%12C9(C%10%13%11)C%14%12%15)C87C8(O5)C65C76C83C43C54C61C342
112,O1C2(C34C56C78C9%10OC97C79C%11%12C%13C%14%15C%10%16N(C%11%10N%11C%10%17C%117C%12%179)C79C%13%10C%147C37C%155C%106C47C%1698)N3C45C12C34C12C34C56OC65C31C542
113,CC12CC34C5(O)CC67C18C31C64C34C69C%10%11N%12C%106C6%10C%13%14N%15N%16C%17%18ON%19C%17%20C%19%17C%18%20C%18%19C%13(C%16%15%14)C%18(C%12%11C93C64C83C2(O5)C713)C%17%10%19
114,CCC12C34CC5OC36C53C16C21C25C46C47C32C2(C38N9C%10%11C9%12C%109C%113C3%10C%11%13N(C%14%15C%16%17OC%14%11C3%11C%16%13C%17%11C%15%12%10)C3%10C89C34C%1027)C165
115,CC12N3C14C31C35C6(C)C23C62C41C13C4(C67OC89C%10%11C%12%13N%14C%15%16C%17%18OC%19%20OC%21%22OC%21(C6%12C%14%22C%106C%19%11C84C14C9%13C764)C%17%15C%20%18%16)C523
116,C1C23C4C5C67SC56C56SC89OC8%10C98C9%11C%12%13C%14%15OC%16%17C%18%19C%14%20C%15%14C%16%15C%18%14C%14%16C%15(C%17%20%19)C9%15C%129C%14(C%13%12C5(C5%13C42C%105C6%13C137)C8%11%12)C9%15%16
117,CC1C(C23C45OC67C89OC%10%11C8%12C8(C%13%14N%15C%16%17C%15%18C%15(F)C%16%19C%18%13C%15%17C%14%198)C98C%109C%12%10C%12%13C%14(C%15(C)C46C2%14C%1553)C%112C7%12C28C9%10%13)N1S
118,CC12CC34C1C15C2C31C41C23C4(F)OC67C8(N9C%10%11C%12%13N%14C%12%10C%11%10C9%13C9%11C%12%13C%15%16C%17(C%146%10)C%156C%17%10C%14%15C9%12C%166C%10%14C%11%13%15)C46C78C62C513
119,C1C2C3C2C24C13C13C5(OOO5)C15C23C12C36C78OC9%10C1(C91C73C%106C13C16C79OC7%10C17N1C%11%12C96C%10%11C69C17C31C86C%1291)C452
120,C.CC1CC23C45C67CC89C64C14C81C68C2%10C95C62C73C42C18C12C34C%105C36C54C34C57C18C26C81C26C38C53C12C12C45C61C78C532
121,C1C23C45C16C24C365.ClC12OC13OC31C34OC56N7C58C23C72C35C79C%10%11N%12C%13%14ON%15C%13%16C%10%13C%15%14C%167C7(C%12%11%13)C2%10C3(C89C61O4)C75%10
122,CC12C34N5C6CC7C6C68N9C6%10C75C81C%101C92C25C6(C78N9C7%10SC7(N%11C7%12C7%13C%14%15N%16C%17%18OC%17%14C%16%14C%117C%12%13C%18%14%15)C9%108)N3C62C451
123,CCC12CC1C13C24C25OC67C89C%10%11C6%12C6%13C8%14C%10(C9%11C89C7%10C7%11C%10%15C7%10C87C%119C%15%107)C%127C%148C6(C69C2%10C2%11C4%12C54C1%12C34C26C%10%119)C%1378
124,CCC1C23OC45C16N1C78C(C9%10CC97OC%1084)C12C35C12C34C57OC38C53C75C6(C86C31C13C78C69C76C7%10C1%11C93C71C6%11C8%101)C452
125,CC1COOC23C45N6C78OC9%10C6%11C74C14C1(Br)N6C47C9(C49OC4%12N4C%13%14C4%15C4%16C%17%18C%13%19C%13(C%129%14)C%159C4%17C9%13C%19%16%18)C6%10C5(C12%11)C837
126,CC1N2C13N1C45OC67C89C%10(PSC4%11C23C15%11)C68C12C34C75C67C%108C1(C61C97C531)C13C25C84C24C51C21C32C13C15C46C34C21C654
127,CC12C3CC45N6C78C31C71C62C4(C23C46C79C%10(Cl)C%11%12C7%13C7(C%14%15N%16C%17(N%18C%19%20C%21%22C%18%23C%19%21C%20%23%22)C%16%14C%17%157)C%107C%13%10C%114C74C%12%10C24C936)C581
128,C1C23CC12N3.C1OC12C13N4C25C26OC27C12N3C62C75N1N2C13C41C45OC67C8(OC9%10C%11%12C9%13C%109C%11%10C6%12C%139%10)C36C84C56C271
129,C.O1C23C45N6C78C49C14C21C34C12C61C73C46N7C4(C76C592)C813.SC1CC2(C1)C13OC45C16OC21C42C47OC58C65C48C15C372
130,C1C2C3C4C5(C12)C3C12N3C46C4(C351)C21C23C65C42C52C45C67C89N%10C6%11C86C8(C%12%13N%14C%15%16C%14%17C%15%12C%16%13C%17%117)C%10(C968)C46C34C13C65C234
131,FC12C34C56C7CC89C%10%11C1%12C1(OC%13%14C%15%16C%17%18C%19%20OC%21%22C%19%17C%17%19C%21%23C%22%21C%20%18C%21%17C%23%19C%13%17C1%13C%171C%14%15C%16%14C8%12C%13%141)C31C%10(C73C5N63)C2%11C941
