Index,SMILES,Error
19,COc1ccc(NC(=O)N1CC(C(CC(c2cccc2CC1)CC1,MolFromSmiles returned None (unknown parse issue)
20,COc1cc(NC(CC(N2C(CCN2Cc2ccccc2n1CC1,MolFromSmiles returned None (unknown parse issue)
21,CCOC(=O)N1CCC((C(=O)c2c1nc1C1CCC1C(C(N2CC1(CS(C12CC1CC1,MolFromSmiles returned None (unknown parse issue)
22,O=C(NC1CC(c2ccccn2CC1CCC(C(N1CC1,MolFromSmiles returned None (unknown parse issue)
23,CN1C(CN(C(C2CC(c2ccccn2CC1)c1cn[nH]1,MolFromSmiles returned None (unknown parse issue)
24,Cc1c(C(=O)NC2NC(COC(Cc1ccccn1CC1,MolFromSmiles returned None (unknown parse issue)
25,Cc1ccc(Nc2ncnc1SNC1CCN(C(CC(CS2)C1CC1,MolFromSmiles returned None (unknown parse issue)
26,O=C1C((C(=O)N(C(C(Sc2ccccc2)CC1,MolFromSmiles returned None (unknown parse issue)
27,C[C@H](NC(NC(Cc1ccc1n1c1c1nc1n1,MolFromSmiles returned None (unknown parse issue)
28,COc1cc(NS(C(=O)N2CCc1cccc1CC1CCC(N(C(C)C1,MolFromSmiles returned None (unknown parse issue)
29,COc1c2c(N3CC(N(C2CCN2C(c2nncc1C1,MolFromSmiles returned None (unknown parse issue)
30,CC(CS(=O)(NC1CC(C(C(c2ccccn1)CC1,MolFromSmiles returned None (unknown parse issue)
31,C[S+]([C@H1(C(C(NC(Cc2ccccc1)CC1CCC(S(C)(1,MolFromSmiles returned None (unknown parse issue)
32,c1ccc2c1CN(C(C(N2CCC(CCOc2ccccn1)C1,MolFromSmiles returned None (unknown parse issue)
33,O=C(NC1C(C(=O)CC1CC(NC(=O)c1c1nn1,MolFromSmiles returned None (unknown parse issue)
34,COc1ccc(NC(=O)N2C(C(OC(Cc2ccccc1)CC1,MolFromSmiles returned None (unknown parse issue)
35,CC(C(NC(=O)N(CC1CCC(C(c2ccccn1)CC1)c1nccs1,MolFromSmiles returned None (unknown parse issue)
36,Cn1nc(Clc1ccn1CC(N1C(C(NC(Cc1ccc1nc1c1n1,MolFromSmiles returned None (unknown parse issue)
37,CCCn1c(N2CC(NC2CCC1C1CCc1ncn1,MolFromSmiles returned None (unknown parse issue)
38,O=C(NC1C(C(CC(C(C2CC(C(Cc2ccccc2CC1,MolFromSmiles returned None (unknown parse issue)
39,NC(NC(C(CC(COc1ccccc1-c1cncn1,MolFromSmiles returned None (unknown parse issue)
40,OC(S(=O)(NC1CC(Cc2c1cccn1,MolFromSmiles returned None (unknown parse issue)
41,CN(C(=O)NNC1CC(C(c2ccccc2CC1)c1cncn1,MolFromSmiles returned None (unknown parse issue)
42,O=C(NC1C(C(OC(CC(Cc2ccccc2CC1,MolFromSmiles returned None (unknown parse issue)
43,COc1ccc(NC(C(=O)N2CCCC(Cc2ccnc1,MolFromSmiles returned None (unknown parse issue)
44,Cc1c(N(C(C)(C(C)CC2Cncnc1COC1CCC(C(C)1,MolFromSmiles returned None (unknown parse issue)
45,CO/N(C(NC1CCC(C(c2ccccn1CC1)C1CCC(N(C1)C1,MolFromSmiles returned None (unknown parse issue)
46,C#C(=N(N1CCC(C((CC(c2ccccc1)CC1)C(CCC(N)11,MolFromSmiles returned None (unknown parse issue)
47,O=C(NC(C(Cc1cccc1C1CCC(C(S((C(N2(=O)c2cccc1,MolFromSmiles returned None (unknown parse issue)
48,Cc1nc(NC(C(=O)N1CCC(Cc2ccccc1CC1,MolFromSmiles returned None (unknown parse issue)
49,O=C(NC1CN(C(c2cccc(NC(C2CC33CCC21)c1n1,MolFromSmiles returned None (unknown parse issue)
50,CCC(=O)NC1CC(C(c2cccc(NCC2CC1,MolFromSmiles returned None (unknown parse issue)
51,CCN(C(=O)N1CCC(C(C(c2ccccn1CCC2)N1,MolFromSmiles returned None (unknown parse issue)
52,CC(/C(NC(NCC1CCC(c1cccc1Cl)Cc1cnc1,MolFromSmiles returned None (unknown parse issue)
53,Oc1nc(CN(Cc2cccn1CCC1CCC(C(N((n2CC1)C1,MolFromSmiles returned None (unknown parse issue)
54,Cc1nn(COC(C(C[N1](C(CC(CC1)C1,MolFromSmiles returned None (unknown parse issue)
55,CN(C(=O)N1CC(C(NC(Cc2ccccn1CC1)CC,MolFromSmiles returned None (unknown parse issue)
56,O=C(NC1CC(C(c2cccnc2CC1,MolFromSmiles returned None (unknown parse issue)
57,COc1ccn(C(CN(C(Cc2ccccc1)C(C)O1,MolFromSmiles returned None (unknown parse issue)
58,O=C(NC1CC(C(N(c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
59,CC(C(=O)NC1CCC(C((N(c2ccccn2Cl)C1,MolFromSmiles returned None (unknown parse issue)
60,O=C(NC1CC(N((c2ccccc2CC1)CC1,MolFromSmiles returned None (unknown parse issue)
61,O=C(NC(CC1CC(C(c2ccccc2nCC1)c1nc2ccc1,MolFromSmiles returned None (unknown parse issue)
62,Cc1cc(NC(C(=O)N2CCC(Cn2ccn1CCC(C(=O)N1CCC1,MolFromSmiles returned None (unknown parse issue)
63,CC(C(=O)NC1CCC(C(c2ccccn1CCC1,MolFromSmiles returned None (unknown parse issue)
64,COc1ccc(NC=C(C(Cc2ccccc2)c1CC1,MolFromSmiles returned None (unknown parse issue)
65,COC(NC(C(C(c1cccc1)C1CCC(N(C(c2ncccn1,MolFromSmiles returned None (unknown parse issue)
66,CC(=O)NC1CC(N((((=O)(CCOc2ccccn1,MolFromSmiles returned None (unknown parse issue)
67,c1ccc(CNC(=O)N1CCC(NC(CC(C2CCc2ccccn1,MolFromSmiles returned None (unknown parse issue)
68,O=C(NC1C(C(OC(c2ccccc2CC1)c1cnnc1,MolFromSmiles returned None (unknown parse issue)
69,O=C(NC1CC((c2cnccn2CC1,MolFromSmiles returned None (unknown parse issue)
70,CC1(C(NC(=O)NCC1CCC(C(c2ccccc2CC1)c1ncn1,MolFromSmiles returned None (unknown parse issue)
71,CCc1cc(-c2sn(C1CN(C(CCc1cn1c1nCC1,MolFromSmiles returned None (unknown parse issue)
72,O=C(NC1CC(C(c2ccccc2CC1,MolFromSmiles returned None (unknown parse issue)
73,O=C(NC1CC(C(c2ccccc2CC1CCC(N2CCC(C(O2(C1CC1)C(c1cnc1,MolFromSmiles returned None (unknown parse issue)
74,CCN(CC(NC(CO1CCCC1)c1nccs1,MolFromSmiles returned None (unknown parse issue)
75,COc1cc(NC(=O)c2c(NCC(N2CC2CC2)cn1,MolFromSmiles returned None (unknown parse issue)
76,C[C@@H](Nc1ccnn1C1CCC(N(C(c2cccnn2C1,MolFromSmiles returned None (unknown parse issue)
77,CN(C(=O)N(CC1CCC(C(c2ccccn2CC1)C(CC(N)1,MolFromSmiles returned None (unknown parse issue)
78,O=C(/C1CCC((c2cc(NC33C(C(C3CC3CC3)c(NC1C1,MolFromSmiles returned None (unknown parse issue)
79,NC(SC(c1cccn1C1CCN(C(C(C(=O)C1C1CC1,MolFromSmiles returned None (unknown parse issue)
80,CN(C(=O)N[C@@H]C1CCC(C(C(N((C(CC(F)C1)C1CCCC1,MolFromSmiles returned None (unknown parse issue)
81,O=C(NCC1CC(C(N((c2ccccn2)CC1,MolFromSmiles returned None (unknown parse issue)
82,OC[C@H(C(NC(Cc1cccn1C1CCC(C(=O)C1,MolFromSmiles returned None (unknown parse issue)
83,CN(C(C(c1cccc1)C1CCC(N(C(=O)c2c1nn1,MolFromSmiles returned None (unknown parse issue)
84,O=C(NC1CC((C(S(=O)(C2CCC1CC(Oc2ccc(C(CC1CCC(CC(C1C(O)CC1,MolFromSmiles returned None (unknown parse issue)
85,CCOC(=O)N1CCC(C(=O)N1C1CCC(C([C(3)c1nn1,MolFromSmiles returned None (unknown parse issue)
86,O=C(NC1CC(C(=O)c2c1ccn1,MolFromSmiles returned None (unknown parse issue)
87,O=C(NC1NC(Cc2ccccn1C1CCC(N1C(C(C)C1,MolFromSmiles returned None (unknown parse issue)
88,O=C(NC1CC(N((C(C2CC(CC(c2cnsc2ncn1C1CC1CC1,MolFromSmiles returned None (unknown parse issue)
89,O=C(NC1C(C(OCc2ccccn1-c1cscc1,MolFromSmiles returned None (unknown parse issue)
90,CCN1C(C(=O)N1CC1CC(C(=O)N1CC1CC(C(C(N2CC1(CC1)C1CC1(C(C)C1,MolFromSmiles returned None (unknown parse issue)
91,CC(CN(CC(NC(CC(C(=O)NC1CCC(Cc2c(Cl)c1ccc1n1CCC1,MolFromSmiles returned None (unknown parse issue)
92,C[c1nc2c(NC(NC(c1ccccc1CCC12CCC(C(N2CC1F)C1,MolFromSmiles returned None (unknown parse issue)
93,CC(OC1NC(C(C2CC1CCC(OC(Cc2ccccn1)C1CCC1,MolFromSmiles returned None (unknown parse issue)
94,O=C(NC1CC(C(c2c(NC(c3ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
95,O=C(NC1C(C(c2ccccc2CC1)OC1,MolFromSmiles returned None (unknown parse issue)
96,Oc1ccc2c(NCC3CCC1CC(C(C2CC2C()2c1ncc1,MolFromSmiles returned None (unknown parse issue)
97,COc1cc(NC(N2C(c2ccccn2CCC1)c1nccc1,MolFromSmiles returned None (unknown parse issue)
98,CN(C(=O)[CCS(C(=O)N1CC(C(C(Cc2ccccn1)C(CC1CCN(C(C(C)1C1,MolFromSmiles returned None (unknown parse issue)
99,CC(Nc1ccnc1N1CCN(C(C(C2CCC(c2ccccn1)CC1,MolFromSmiles returned None (unknown parse issue)
100,O=C(NC1CCC(C(c2ccccn2C1,MolFromSmiles returned None (unknown parse issue)
101,CC(C(=O)NC1CCc2ccc(NC(=O)N1CC1CCC(C(C)1,MolFromSmiles returned None (unknown parse issue)
102,O=C(Nc1cccn1CC1CN(C(C2CC(c2ncn1C1CCS1,MolFromSmiles returned None (unknown parse issue)
103,CC(C(=O)NC1CCC(C(c2ccccc2C1)c1nn[C1,MolFromSmiles returned None (unknown parse issue)
104,COC(C(NN1C(CC1C(C(CC(C)C1CC1(C(C)C1)CC1CCC(C(C)C1,MolFromSmiles returned None (unknown parse issue)
105,COc1ccc(NC(=O)N1CCC(C(CC(c2ccccc2SCC1,MolFromSmiles returned None (unknown parse issue)
106,O=C(NC1CCC(C(S((O((Cc2cccc1)CC1,MolFromSmiles returned None (unknown parse issue)
107,[CCOC(C1(C(NC1c2c1ccnc1,MolFromSmiles returned None (unknown parse issue)
108,NC(C(/N1CCN(C(C(c1cccc1)C1CCCC1,MolFromSmiles returned None (unknown parse issue)
109,O=C(NC1CC((C(=O)c2c(CC1CC(C(N(C(N12CC(OC(C1CC1)C1,MolFromSmiles returned None (unknown parse issue)
110,Nc1nc(NC(Cc2ccc(CCNC1CCC(C(N2CC(c2cnccn1,MolFromSmiles returned None (unknown parse issue)
111,CC(C(=O)NC1CCN(C(c2ccccc2CC1)c1cncc1,MolFromSmiles returned None (unknown parse issue)
112,CN(C(=O)NC1CCC(Cc2ccccn1CC1CCC(N(C(COC1CC1,MolFromSmiles returned None (unknown parse issue)
113,CN1C(C(=O)NS(CN(C1(CCc2cccc(CC(N2CC1CCC2,MolFromSmiles returned None (unknown parse issue)
114,COc1c(NC(=O)N2C(CCN(Cc2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
115,CN(C1CCC(C(c2ccccn2CC1)c1nn[n1,MolFromSmiles returned None (unknown parse issue)
116,CS(=O)(NC1CC(C(c2ccccn2C1,MolFromSmiles returned None (unknown parse issue)
117,Cc1cn(CN(C(=O)c2cccsn1C1CCN(C(C(C)C1,MolFromSmiles returned None (unknown parse issue)
118,COc1ccc(N(C(=O)NC2CCN(Cc2ccccc1)CC1,MolFromSmiles returned None (unknown parse issue)
119,O=C(Nc1ncc(CN1C(C(=O)NC1CCC(C(C(c2ccccc3nn1C,MolFromSmiles returned None (unknown parse issue)
120,CC(C(NC(=O)N1CCC(Cc2ccccn1)CC1,MolFromSmiles returned None (unknown parse issue)
121,O=C1NC(C(c2ccc3ccnnc2C1CC(NC1CCC1,MolFromSmiles returned None (unknown parse issue)
122,c1ccc(NC(C(=O)O2C1c2cccnc1,MolFromSmiles returned None (unknown parse issue)
123,CN(C(=O)NCC1CCC(N(c2ccncc1CCC1,MolFromSmiles returned None (unknown parse issue)
124,CN(C(=O)CN1CC(NC(c2ccccn2CC1)c1cncc1,MolFromSmiles returned None (unknown parse issue)
125,O=C(NC1CCN(c2ccc([N+](C3[CC3CC2n1,MolFromSmiles returned None (unknown parse issue)
126,CC(C(CNC((CC1CC1CCC(C(C(C2CC1CC1CC(c1cccc1C1CCCC1)CC1,MolFromSmiles returned None (unknown parse issue)
127,CN(C(=N/NC1CCC(C(C(c2ccccc2CC1)C1CC2(CC1,MolFromSmiles returned None (unknown parse issue)
128,N[C@H((C1CCC(c2ccccc1CCC1,MolFromSmiles returned None (unknown parse issue)
129,NC(NC(C(Cc1ccccc1C1CCC(C(N(C1(C(C)(C1)C1,MolFromSmiles returned None (unknown parse issue)
130,COc1c(NC(=O)C2C(C(NC(N2CC2OC1NC1CCC(C)c1cncc1,MolFromSmiles returned None (unknown parse issue)
131,O=C(NC1CC(C(c2ccc(CC[C@H]2C1,MolFromSmiles returned None (unknown parse issue)
132,COc1c(CN(C(N2CCN(C2)c2cccn1C,MolFromSmiles returned None (unknown parse issue)
133,O=c1[n(n(Cc1c(C(N2CCC(CSc2cc(Cl)cc1[C@@H]1C1CCC(C(C)11,MolFromSmiles returned None (unknown parse issue)
134,CN(C(=O)NC1CC(C(NC(C(C(c2ccccn2CC1)c1cccc1,MolFromSmiles returned None (unknown parse issue)
135,O=NN(CCC(OC((Cc1ccc1[nH]1C,MolFromSmiles returned None (unknown parse issue)
136,O=C(NC1C([C(CCCC2C(C(=O)NC1CCC(c2c3cccnc2n1,MolFromSmiles returned None (unknown parse issue)
137,O=C(NC1CC(=OC(c2cc(CCC3C(=O)N1CC1,MolFromSmiles returned None (unknown parse issue)
138,C[C@@H((N1(C(NC1)CC(OC(CC1(Cc1cccn1C1CCC(C(C)C1,MolFromSmiles returned None (unknown parse issue)
139,COc1nc(NC(C(=O)C1CCC(C(Cc2c[ncn1CC1,MolFromSmiles returned None (unknown parse issue)
140,CCOC(=N(CN1CCC(C(c2ccccc1CCCC1,MolFromSmiles returned None (unknown parse issue)
141,CCOc1cc(NC(=O)N2C(Cc2ccccc1CC1,MolFromSmiles returned None (unknown parse issue)
142,COc1ccc(NC(=O)NC1CCC(N((C(N22CC2CC1,MolFromSmiles returned None (unknown parse issue)
143,CCc1nn(CC1N(C(CC(C(c2ccccc2CC1)CC1,MolFromSmiles returned None (unknown parse issue)
144,COc1ccc(S(=O)(NC(C(Cc2ccccc1)OC1CCC(N(C1CC(CC1,MolFromSmiles returned None (unknown parse issue)
145,C[C@@H](NC1CC(c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
146,COC(=O)OCc1nc(NC1CC(C(N(c2ccccn2CC1)CC1,MolFromSmiles returned None (unknown parse issue)
147,C/C(=N\N1CCC(C(C(c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
148,[c1cc(C(NC(Cc2ccc3ccccc2n1,MolFromSmiles returned None (unknown parse issue)
149,COc1cc(NC(=O)N2C(c2ccccn1CCC1C(=O)N1,MolFromSmiles returned None (unknown parse issue)
150,COc1cn(C(NC(COC(C2c2ccccc2CCCC1,MolFromSmiles returned None (unknown parse issue)
151,O=P(NC(CC(N1C1C(C(c2cccccn1CC2)C1,MolFromSmiles returned None (unknown parse issue)
152,O=C(NC1C(C(OC(c2ccccc2CC1)c1ccnc1,MolFromSmiles returned None (unknown parse issue)
153,COC(=O)n1nc1nc(C(N2C(CCCC1C2CCC(C1)c1nnc1,MolFromSmiles returned None (unknown parse issue)
154,COc1cc(NC(=O)N2CN(C(CN2CC1CCC1C(C(=O)CC1,MolFromSmiles returned None (unknown parse issue)
155,NC(C(=O)NC1CCC(C((c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
156,CC(C(=O)NC1CCc2c(CNc2nnn1C1CCC1C(C(C)C1,MolFromSmiles returned None (unknown parse issue)
157,CC(NC(=Nn1CCC(NCC(c1ccccc1)C1CCC(N((C(=O)C1,MolFromSmiles returned None (unknown parse issue)
158,CC(N(C(=O)N1CCC(C(c1cccc1CCC2CCC(C(C)N1,MolFromSmiles returned None (unknown parse issue)
159,CN(C(=O)NC1CC(Cc2ccccn1-c1nn1,MolFromSmiles returned None (unknown parse issue)
160,COc1cc(NC(=N22CCC(C(=O)N2CCc2cncn1C,MolFromSmiles returned None (unknown parse issue)
161,O=C(NC1Cc2c(C(c2cc3cccccn2n1C1,MolFromSmiles returned None (unknown parse issue)
162,CC(C(=O)NC1CCC(C(C(c2ccccc2CC1)n1cnc1,MolFromSmiles returned None (unknown parse issue)
163,O=C(NC(CC(Cc1cccc1CC1CCC(C(O)(1)C1,MolFromSmiles returned None (unknown parse issue)
164,CC(C(=O)NC1CCC(N(C(C(C(C)C1CCC(c1ccnc1,MolFromSmiles returned None (unknown parse issue)
165,CC(C(=O)NC1CCC(c2ccccc2CC1)c1cncc1,MolFromSmiles returned None (unknown parse issue)
166,CCC(=O)N1CC(N(C(c2ccccn2CC1,MolFromSmiles returned None (unknown parse issue)
167,CCOC(=NC/N1CC(C(CC(COc2ccccn1,MolFromSmiles returned None (unknown parse issue)
168,CN(C(=O)NC1CCC(C(c2ccccc2CC1C(C)NC1,MolFromSmiles returned None (unknown parse issue)
169,COc1cc(N(C(=O)N2CCN(C(c2ccccc2)n1CCC1,MolFromSmiles returned None (unknown parse issue)
170,NSc1cc(NC(=O)c2nn(C1CC(N(CC1C(C(C12CC(C1)C1,MolFromSmiles returned None (unknown parse issue)
171,Nc1nc(NC(Cc2cccc(CCNC1CCC(C(CCC(C2(OC3CC1)c1nn1,MolFromSmiles returned None (unknown parse issue)
172,CC(Nc1cnnc1C1CN(C(C(c2nccn1nCC1,MolFromSmiles returned None (unknown parse issue)
173,CCN(C(=O)N1CCC(C(c2ccccn1CCC1)Cc1cncc1,MolFromSmiles returned None (unknown parse issue)
174,COc1ccc(NC(=O)NN1C(Cc2ccccn2C1,MolFromSmiles returned None (unknown parse issue)
175,O=C(NC(NC1CCC(Cc1ccc1-c1nc1,MolFromSmiles returned None (unknown parse issue)
176,Cc1cn(CC/C1(C(N(C(N2CCC2CC2)c1n1,MolFromSmiles returned None (unknown parse issue)
177,CN(C(=O)NC1CCC(OC(c2ccc(NCC1)c1ncc1,MolFromSmiles returned None (unknown parse issue)
178,CS(=O)(C(NC1CC(NC(Cc2ccccn1)CC1,MolFromSmiles returned None (unknown parse issue)
179,Cc1cn(NC(C(O)(CCN(C(Cc2ccccc1)C1CCC(O)C1,MolFromSmiles returned None (unknown parse issue)
180,COC(=O)NC1CC(C((C(c2ccccc2CC1)(C1COC(C1)C1,MolFromSmiles returned None (unknown parse issue)
181,CN(C(=O)NC1CCC(N(c2ccccnn1C1CCC(N2C(C(C)C1,MolFromSmiles returned None (unknown parse issue)
182,CC(NC(=O)N1CCCC(C(N(c1cccn1c1nc1C1CC(C(C1)C1,MolFromSmiles returned None (unknown parse issue)
183,CC(C(NC(=O)N1CCC(CC(Cc2cccnc1)C1)C(CC1,MolFromSmiles returned None (unknown parse issue)
184,CN(C(=O)NC1CCC(C(c2ccccn2CC1)c1nncc1,MolFromSmiles returned None (unknown parse issue)
185,Fc1ccn(NC(C(C2CCC1C(C2CCC(C(C2CCC(C2)N1CCC(C(O)1C1,MolFromSmiles returned None (unknown parse issue)
186,NS(=O)(N1C1CC(C(C(c2cccnc1C1,MolFromSmiles returned None (unknown parse issue)
187,O=C(NC1CN(C(N(C2CC(C(CO2c3ccccn1)CC1,MolFromSmiles returned None (unknown parse issue)
188,CC(NC(C(=O)NC1CCC(COc2ccccc1CC1)CC1,MolFromSmiles returned None (unknown parse issue)
189,CN(c1cc(OC2CC(N[C(NC21CCC2nn1,MolFromSmiles returned None (unknown parse issue)
190,O=C(NC1C(C(=O)CC(n2cn1C1CCC(C(N2CCC(CCc1cc1n1C,MolFromSmiles returned None (unknown parse issue)
191,CCN(C(=O)N1CC(CC(c2ccccn1CC1)CC(C)(C1,MolFromSmiles returned None (unknown parse issue)
192,C[N+](CC(C(CCC(Cc1cccn1C1C(C(C)C1,MolFromSmiles returned None (unknown parse issue)
193,NOC(NC(C(=O)C1CCC1C(C(Nc2ccccn1CC1,MolFromSmiles returned None (unknown parse issue)
194,Cc1cc(N(C(=O)C2CCC(CNC2Cc2ocn1C,MolFromSmiles returned None (unknown parse issue)
195,/c1c(C(C(=N2CCn2c(Cn2c(CCC1CCC(C(c2ccccc2)CC1,MolFromSmiles returned None (unknown parse issue)
196,O=C(NC1NC(Cc2cccc[nn1C1CCCC(N(C1C(C1(C(=O)C1,MolFromSmiles returned None (unknown parse issue)
197,CC(C(=O)NC1CC(C(c2ccccc2CC1)c1nn[Cc11,MolFromSmiles returned None (unknown parse issue)
198,CCN(C(=O)N1CCC(c2cccsc2C1CCN(C1CCC(Cc1c1nc1CC1,MolFromSmiles returned None (unknown parse issue)
199,O=C(NC1C(C(=O)OC1CC(C(c2ccccc2C1,MolFromSmiles returned None (unknown parse issue)
